Sample,Site,Reach,Location,Replicate,Date,Dry Weight + Filter (g),Ash + Filter (g),LOI (g),Depth 1 (cm),Depth 2 (cm),Depth 3 (cm),Depth 4 (cm),Average Depth (cm),Filtered Volume (ml),Sampler Radius (cm),Sampler Area (cm2),Sampler Volume (mL),Total FBPOM (g),Total FBPOM (g/m2),FBPOC (g/m2)
FBPOC,FH,REF,MID,1,7/6/2021,0.1364,0.1324,0.0040,12.0,12.0,14.0,14.0,13.0,200,8.750,240.53,3126.8660,0.0625,0.2600,0.14
FBPOC,FH,REF,MID,2,7/6/2021,0.1592,0.1501,0.0091,20.0,23.0,18.0,19.0,20.0,75,8.750,240.53,4810.5631,0.5837,2.4267,1.26
FBPOC,FH,REF,MID,3,7/6/2021,0.1493,0.1450,0.0043,14.0,13.0,12.0,13.0,13.0,100,8.750,240.53,3126.8660,0.1345,0.5590,0.29
FBPOC,FH,REF,UPR,1,7/6/2021,0.1497,0.1449,0.0048,10.0,10.0,11.0,11.0,10.5,100,8.750,240.53,2525.5457,0.1212,0.5040,0.26
FBPOC,FH,REF,UPR,2,7/6/2021,0.1666,0.1595,0.0071,9.0,9.0,10.0,9.5,9.4,30,8.750,240.53,2254.9515,0.5337,2.2188,1.15
FBPOC,FH,REF,UPR,3,7/6/2021,0.1705,0.1629,0.0076,8.0,9.5,10.0,9.5,9.3,30,8.750,240.53,2224.8855,0.5636,2.3433,1.22
FBPOC,TP,BDA,LWR,1,7/8/2021,0.1657,0.1576,0.0081,58.0,58.0,57.0,57.0,57.5,30,8.750,240.53,13830.3691,3.7342,15.5250,8.07
FBPOC,TP,BDA,LWR,2,7/8/2021,0.2027,0.1879,0.0148,20.0,20.0,20.0,19.0,19.8,30,8.750,240.53,4750.4311,2.3435,9.7433,5.07
FBPOC,TP,BDA,LWR,3,7/8/2021,0.2249,0.2069,0.0180,15.0,15.0,14.5,13.0,14.4,10,8.750,240.53,3457.5923,6.2237,25.8750,13.46
FBPOC,TP,BDA,MID,1,7/8/2021,0.2002,0.1873,0.0129,39.0,39.0,38.5,39.0,38.9,5,8.750,240.53,9350.5321,24.1244,100.2975,52.15
FBPOC,TP,BDA,MID,2,7/8/2021,0.1710,0.1636,0.0074,28.0,29.0,29.0,28.0,28.5,5,8.750,240.53,6855.0525,10.1455,42.1800,21.93
